casa,fora,gols_casa,gols_fora,resultado
Turkey,Hungary,79.0,76.0,casa
Ukraine,Italy,79.0,91.0,fora
Argentina,Chile,83.0,69.0,casa
Armenia,Serbia,47.0,75.0,fora
Belgium,Finland,71.0,79.0,fora
Croatia,Israel,77.0,75.0,casa
Denmark,Spain,76.0,89.0,fora
Ecuador,Venezuela,65.0,61.0,casa
England,Estonia,81.0,73.0,casa
Faroe Islands,France,54.0,85.0,fora
Greece,Bosnia and Herzegovina,81.0,73.0,casa
Republic of Ireland,Germany,82.0,87.0,fora
Liechtenstein,Sweden,67.0,75.0,fora
Peru,Paraguay,52.0,75.0,fora
Romania,Netherlands,74.0,87.0,fora
Scotland,Ukraine,78.0,79.0,fora
Slovenia,Albania,71.0,52.0,casa
Switzerland,Austria,72.0,74.0,fora
Colombia,Brazil,78.0,84.0,fora
Mexico,Nigeria,79.0,78.0,casa
Croatia,Slovakia,77.0,64.0,casa
Venezuela,Argentina,61.0,83.0,fora
Albania,Bulgaria,52.0,76.0,fora
Austria,Côte d'Ivoire,74.0,67.0,casa
Belgium,Armenia,71.0,47.0,casa
Bosnia and Herzegovina,Norway,73.0,74.0,fora
Brazil,Ecuador,84.0,65.0,casa
Chile,Peru,69.0,52.0,casa
Finland,Spain,79.0,89.0,fora
Germany,Czech Republic,87.0,89.0,fora
Italy,South Africa,91.0,73.0,casa
Liechtenstein,Iceland,67.0,72.0,fora
Netherlands,Slovenia,87.0,71.0,casa
Paraguay,Uruguay,75.0,75.0,empate
Poland,Hungary,82.0,76.0,casa
Russia,England,85.0,81.0,casa
Sweden,Northern Ireland,75.0,71.0,casa
Switzerland,USA,72.0,82.0,fora
Turkey,Greece,79.0,81.0,fora
Ukraine,Faroe Islands,79.0,54.0,casa
Austria,England,74.0,81.0,fora
France,Morocco,85.0,75.0,casa
Australia,Nigeria,77.0,78.0,fora
Bulgaria,Romania,76.0,74.0,casa
Colombia,Venezuela,78.0,61.0,casa
Czech Republic,Slovakia,89.0,64.0,casa
Israel,Russia,75.0,85.0,fora
North Macedonia,Croatia,76.0,77.0,fora
Northern Ireland,Denmark,71.0,76.0,fora
Norway,Turkey,74.0,79.0,fora
Paraguay,Ecuador,75.0,65.0,casa
Poland,Belgium,82.0,71.0,casa
Portugal,Armenia,81.0,47.0,casa
Scotland,Italy,78.0,91.0,fora
South Africa,USA,73.0,82.0,fora
Spain,Sweden,89.0,75.0,casa
Wales,Republic of Ireland,68.0,82.0,fora
Peru,Brazil,52.0,84.0,fora
Uruguay,Chile,75.0,69.0,casa
Colombia,Argentina,78.0,83.0,fora
South Africa,Canada,73.0,72.0,casa
Switzerland,Nigeria,72.0,78.0,fora
Brazil,Uruguay,84.0,75.0,casa
Chile,Paraguay,69.0,75.0,fora
Denmark,Iceland,76.0,72.0,casa
Ecuador,Peru,65.0,52.0,casa
England,Croatia,81.0,77.0,casa
Germany,Wales,87.0,68.0,casa
Ghana,Benin,66.0,55.0,casa
Hungary,Greece,76.0,81.0,fora
Israel,North Macedonia,75.0,76.0,fora
Italy,Faroe Islands,91.0,54.0,casa
Morocco,Senegal,75.0,63.0,casa
Portugal,Finland,81.0,79.0,casa
Romania,Albania,74.0,52.0,casa
Serbia,Poland,75.0,82.0,fora
Slovenia,Bulgaria,71.0,76.0,fora
Spain,Northern Ireland,89.0,71.0,casa
Turkey,Bosnia and Herzegovina,79.0,73.0,casa
Ukraine,France,79.0,85.0,fora
Benin,Senegal,55.0,63.0,fora
USA,Sweden,82.0,75.0,casa
Nigeria,Côte d'Ivoire,78.0,67.0,casa
Egypt,Cameroon,67.0,79.0,fora
Côte d'Ivoire,Benin,67.0,55.0,casa
Ghana,Morocco,66.0,75.0,fora
Nigeria,Benin,78.0,55.0,casa
Korea Republic,Chile,70.0,69.0,casa
Senegal,South Africa,63.0,73.0,fora
Ghana,Nigeria,66.0,78.0,fora
Armenia,Iceland,47.0,72.0,fora
Austria,Germany,74.0,87.0,fora
Croatia,Netherlands,77.0,87.0,fora
Czech Republic,Poland,89.0,82.0,casa
England,Switzerland,81.0,72.0,casa
Greece,Finland,81.0,79.0,casa
Hungary,Slovakia,76.0,64.0,casa
Iraq,China PR,50.0,65.0,fora
Republic of Ireland,Brazil,82.0,84.0,fora
Israel,Romania,75.0,74.0,casa
Italy,Portugal,91.0,81.0,casa
North Macedonia,Serbia,76.0,75.0,casa
Northern Ireland,Bulgaria,71.0,76.0,fora
Slovenia,Denmark,71.0,76.0,fora
Spain,France,89.0,85.0,casa
Turkey,Sweden,79.0,75.0,casa
Uruguay,Colombia,75.0,78.0,fora
USA,Mexico,82.0,79.0,casa
Wales,Norway,68.0,74.0,fora
Ghana,Cameroon,66.0,79.0,fora
Côte d'Ivoire,Egypt,67.0,67.0,empate
Ghana,Côte d'Ivoire,66.0,67.0,fora
Cameroon,Egypt,79.0,67.0,casa
China PR,Korea Republic,65.0,70.0,fora
Poland,Estonia,82.0,73.0,casa
Iceland,Faroe Islands,72.0,54.0,casa
Austria,Netherlands,74.0,87.0,fora
Belgium,Morocco,71.0,75.0,fora
Bosnia and Herzegovina,North Macedonia,73.0,76.0,fora
Brazil,Sweden,84.0,75.0,casa
Bulgaria,Finland,76.0,79.0,fora
China PR,Australia,65.0,77.0,fora
Denmark,Czech Republic,76.0,89.0,fora
Egypt,Argentina,67.0,83.0,fora
Estonia,Canada,73.0,72.0,casa
France,England,85.0,81.0,casa
Ghana,Mexico,66.0,79.0,fora
Hungary,Slovenia,76.0,71.0,casa
Israel,Chile,75.0,69.0,casa
Jamaica,Trinidad and Tobago,58.0,61.0,fora
Poland,USA,82.0,82.0,empate
Portugal,Greece,81.0,81.0,empate
Romania,Russia,74.0,85.0,fora
Scotland,Croatia,78.0,77.0,casa
Slovakia,Iceland,64.0,72.0,fora
South Africa,Paraguay,73.0,75.0,fora
Spain,Italy,89.0,91.0,fora
Switzerland,Germany,72.0,87.0,fora
Ukraine,Serbia,79.0,75.0,casa
Mexico,China PR,79.0,65.0,casa
Oman,Liberia,68.0,69.0,fora
Colombia,Venezuela,78.0,61.0,casa
Turkey,Slovakia,79.0,64.0,casa
Côte d'Ivoire,Paraguay,67.0,75.0,fora
Australia,Ghana,77.0,66.0,casa
Hungary,Greece,76.0,81.0,fora
Republic of Ireland,Serbia,82.0,75.0,casa
Netherlands,Ukraine,87.0,79.0,casa
Switzerland,Slovakia,72.0,64.0,casa
Turkey,Uruguay,79.0,75.0,casa
North Macedonia,Poland,76.0,82.0,fora
Sweden,Slovenia,75.0,71.0,casa
Albania,Poland,52.0,82.0,fora
Austria,Nigeria,74.0,78.0,fora
France,Ecuador,85.0,65.0,casa
England,USA,81.0,82.0,fora
Iceland,Wales,72.0,68.0,casa
Norway,Uruguay,74.0,75.0,fora
Russia,Serbia,85.0,75.0,casa
Finland,Turkey,79.0,79.0,empate
Republic of Ireland,Colombia,82.0,78.0,casa
Netherlands,Denmark,87.0,76.0,casa
Czech Republic,Scotland,89.0,78.0,casa
Italy,Belgium,91.0,71.0,casa
Switzerland,Liechtenstein,72.0,67.0,casa
Brazil,Canada,84.0,72.0,casa
France,Paraguay,85.0,75.0,casa
Germany,Serbia,87.0,75.0,casa
Hungary,Croatia,76.0,77.0,fora
Spain,Peru,89.0,52.0,casa
Armenia,Greece,47.0,81.0,fora
Australia,Iraq,77.0,50.0,casa
Egypt,Congo DR,67.0,70.0,fora
Liberia,Gambia,69.0,68.0,casa
Netherlands,Wales,87.0,68.0,casa
Nigeria,South Africa,78.0,73.0,casa
Poland,Denmark,82.0,76.0,casa
Sweden,Ukraine,75.0,79.0,fora
Trinidad and Tobago,England,61.0,81.0,fora
France,Colombia,85.0,78.0,casa
Estonia,Faroe Islands,73.0,54.0,casa
Mexico,Argentina,79.0,83.0,fora
Spain,USA,89.0,82.0,casa
Brazil,Venezuela,84.0,61.0,casa
Iraq,Australia,50.0,77.0,fora
Portugal,Turkey,81.0,79.0,casa
Switzerland,Czech Republic,72.0,89.0,fora
Trinidad and Tobago,Jamaica,61.0,58.0,casa
Austria,Croatia,74.0,77.0,fora
Gambia,Senegal,68.0,63.0,casa
Germany,Poland,87.0,82.0,casa
Mexico,Peru,79.0,52.0,casa
USA,Argentina,82.0,83.0,fora
Netherlands,Italy,87.0,91.0,fora
Romania,France,74.0,85.0,fora
Greece,Sweden,81.0,75.0,casa
Spain,Russia,89.0,85.0,casa
Czech Republic,Portugal,89.0,81.0,casa
Switzerland,Turkey,72.0,79.0,fora
Austria,Poland,74.0,82.0,fora
Croatia,Germany,77.0,87.0,fora
Italy,Romania,91.0,74.0,casa
Netherlands,France,87.0,85.0,casa
China PR,Iraq,65.0,50.0,casa
Greece,Russia,81.0,85.0,fora
Peru,Colombia,52.0,78.0,fora
Sweden,Spain,75.0,89.0,fora
Uruguay,Venezuela,75.0,61.0,casa
Argentina,Ecuador,83.0,65.0,casa
Liberia,Senegal,69.0,63.0,casa
Paraguay,Brazil,75.0,84.0,fora
Switzerland,Portugal,72.0,81.0,fora
Turkey,Czech Republic,79.0,89.0,fora
Austria,Germany,74.0,87.0,fora
Poland,Croatia,82.0,77.0,casa
France,Italy,85.0,91.0,fora
Netherlands,Romania,87.0,74.0,casa
Uruguay,Peru,75.0,52.0,casa
Ecuador,Colombia,65.0,78.0,fora
Greece,Spain,81.0,89.0,fora
Russia,Sweden,85.0,75.0,casa
Brazil,Argentina,84.0,83.0,casa
Portugal,Germany,81.0,87.0,fora
Venezuela,Chile,61.0,69.0,fora
Croatia,Turkey,77.0,79.0,fora
Netherlands,Russia,87.0,85.0,casa
Senegal,Liberia,63.0,69.0,fora
Australia,China PR,77.0,65.0,casa
Spain,Italy,89.0,91.0,fora
Germany,Turkey,87.0,79.0,casa
Russia,Spain,85.0,89.0,fora
Germany,Spain,87.0,89.0,fora
Australia,South Africa,77.0,73.0,casa
Albania,Liechtenstein,52.0,67.0,fora
Bosnia and Herzegovina,Bulgaria,73.0,76.0,fora
Canada,Jamaica,72.0,58.0,casa
Colombia,Ecuador,78.0,65.0,casa
Denmark,Spain,76.0,89.0,fora
England,Czech Republic,81.0,89.0,fora
Finland,Israel,79.0,75.0,casa
Germany,Belgium,87.0,71.0,casa
Italy,Austria,91.0,74.0,casa
Morocco,Benin,75.0,55.0,casa
Norway,Republic of Ireland,74.0,82.0,fora
Portugal,Faroe Islands,81.0,54.0,casa
Russia,Netherlands,85.0,87.0,fora
Scotland,Northern Ireland,78.0,71.0,casa
Slovakia,Greece,64.0,81.0,fora
Slovenia,Croatia,71.0,77.0,fora
Sweden,France,75.0,85.0,fora
Turkey,Chile,79.0,69.0,casa
Ukraine,Poland,79.0,82.0,fora
Albania,Sweden,51.0,76.0,fora
Argentina,Paraguay,82.0,74.0,casa
Armenia,Turkey,64.0,81.0,fora
Austria,France,77.0,87.0,fora
Belgium,Estonia,73.0,64.0,casa
Cabo Verde,Cameroon,59.0,81.0,fora
Colombia,Uruguay,75.0,75.0,empate
Gambia,Liberia,70.0,67.0,casa
Georgia,Republic of Ireland,55.0,83.0,fora
Hungary,Denmark,72.0,75.0,fora
Israel,Switzerland,73.0,80.0,fora
Liechtenstein,Germany,68.0,85.0,fora
North Macedonia,Scotland,75.0,81.0,fora
Malta,Portugal,64.0,80.0,fora
Moldova,Latvia,54.0,48.0,casa
Montenegro,Bulgaria,50.0,78.0,fora
Netherlands,Australia,85.0,77.0,casa
Norway,Iceland,73.0,49.0,casa
Oman,Morocco,67.0,71.0,fora
Peru,Venezuela,62.0,65.0,fora
Poland,Slovenia,80.0,78.0,casa
Serbia,Faroe Islands,78.0,53.0,casa
Slovakia,Northern Ireland,73.0,72.0,casa
South Africa,Nigeria,73.0,64.0,casa
Spain,Bosnia and Herzegovina,91.0,72.0,casa
Ukraine,Belarus,77.0,67.0,casa
Chile,Brazil,70.0,87.0,fora
Congo DR,Egypt,63.0,68.0,fora
Paraguay,Venezuela,74.0,65.0,casa
Albania,Malta,51.0,64.0,fora
Bosnia and Herzegovina,Estonia,72.0,64.0,casa
Chile,Colombia,70.0,75.0,fora
Croatia,England,77.0,82.0,fora
Faroe Islands,Romania,53.0,82.0,fora
Finland,Germany,80.0,85.0,fora
France,Serbia,87.0,78.0,casa
Iceland,Scotland,49.0,81.0,fora
Italy,Georgia,90.0,55.0,casa
Latvia,Greece,48.0,79.0,fora
North Macedonia,Netherlands,75.0,85.0,fora
Mexico,Canada,82.0,70.0,casa
Moldova,Israel,54.0,73.0,fora
Montenegro,Republic of Ireland,50.0,83.0,fora
Northern Ireland,Czech Republic,72.0,88.0,fora
Peru,Argentina,62.0,82.0,fora
Portugal,Denmark,80.0,75.0,casa
Russia,Wales,85.0,77.0,casa
Slovenia,Slovakia,78.0,73.0,casa
Spain,Armenia,91.0,64.0,casa
Sweden,Hungary,76.0,72.0,casa
Turkey,Belgium,81.0,73.0,casa
Uruguay,Ecuador,75.0,74.0,casa
USA,Trinidad and Tobago,84.0,63.0,casa
Mexico,Chile,82.0,70.0,casa
Argentina,Uruguay,82.0,75.0,casa
Belgium,Armenia,73.0,64.0,casa
Bulgaria,Italy,78.0,90.0,fora
Colombia,Paraguay,75.0,74.0,casa
Denmark,Malta,75.0,64.0,casa
Estonia,Spain,64.0,91.0,fora
Faroe Islands,Austria,53.0,77.0,fora
Germany,Russia,85.0,85.0,empate
Greece,Moldova,79.0,54.0,casa
Hungary,Albania,72.0,51.0,casa
Jamaica,Mexico,64.0,82.0,fora
Netherlands,Iceland,85.0,49.0,casa
Poland,Czech Republic,80.0,88.0,fora
Romania,France,82.0,87.0,fora
Scotland,Norway,81.0,73.0,casa
Senegal,Gambia,76.0,70.0,casa
Slovenia,Northern Ireland,78.0,72.0,casa
Sweden,Portugal,76.0,80.0,fora
Switzerland,Latvia,80.0,48.0,casa
Turkey,Bosnia and Herzegovina,81.0,72.0,casa
Ukraine,Croatia,77.0,77.0,empate
Wales,Liechtenstein,77.0,68.0,casa
Ecuador,Chile,74.0,70.0,casa
Venezuela,Brazil,65.0,87.0,fora
Austria,Serbia,77.0,78.0,fora
Belarus,England,67.0,82.0,fora
Belgium,Spain,73.0,91.0,fora
Bosnia and Herzegovina,Armenia,72.0,64.0,casa
Brazil,Colombia,87.0,75.0,casa
Canada,Mexico,70.0,82.0,fora
Chile,Argentina,70.0,82.0,fora
Czech Republic,Slovenia,88.0,78.0,casa
Estonia,Turkey,64.0,81.0,fora
Georgia,Bulgaria,55.0,78.0,fora
Germany,Wales,85.0,77.0,casa
Greece,Switzerland,79.0,80.0,fora
Iceland,North Macedonia,49.0,75.0,fora
Italy,Montenegro,90.0,50.0,casa
Latvia,Israel,48.0,73.0,fora
Malta,Hungary,64.0,72.0,fora
Norway,Netherlands,73.0,85.0,fora
Paraguay,Peru,74.0,62.0,casa
Portugal,Albania,80.0,51.0,casa
Russia,Finland,85.0,80.0,casa
Slovakia,Poland,73.0,80.0,fora
South Africa,Ghana,73.0,66.0,casa
Trinidad and Tobago,USA,63.0,84.0,fora
Venezuela,Ecuador,65.0,74.0,fora
Estonia,Latvia,64.0,48.0,casa
Mexico,Ecuador,82.0,74.0,casa
Estonia,Moldova,64.0,54.0,casa
Austria,Turkey,77.0,81.0,fora
Brazil,Portugal,87.0,80.0,casa
Colombia,Nigeria,75.0,64.0,casa
Denmark,Wales,75.0,77.0,fora
France,Uruguay,87.0,75.0,casa
Germany,England,85.0,82.0,casa
Greece,Italy,79.0,90.0,fora
Republic of Ireland,Poland,83.0,80.0,casa
Israel,Côte d'Ivoire,73.0,68.0,casa
Jamaica,Canada,64.0,70.0,fora
Malta,Iceland,64.0,49.0,casa
Montenegro,North Macedonia,50.0,75.0,fora
Netherlands,Sweden,85.0,76.0,casa
Northern Ireland,Hungary,72.0,72.0,empate
Oman,Paraguay,67.0,74.0,fora
Romania,Georgia,82.0,55.0,casa
Scotland,Argentina,81.0,82.0,fora
Serbia,Bulgaria,78.0,78.0,empate
Slovakia,Liechtenstein,73.0,68.0,casa
Slovenia,Bosnia and Herzegovina,78.0,72.0,casa
South Africa,Cameroon,73.0,81.0,fora
Spain,Chile,91.0,70.0,casa
Switzerland,Finland,80.0,80.0,empate
Ukraine,Norway,77.0,73.0,casa
Jamaica,Barbados,64.0,48.0,casa
Barbados,Trinidad and Tobago,48.0,63.0,fora
Jamaica,Trinidad and Tobago,64.0,63.0,casa
Serbia,Poland,78.0,80.0,fora
Oman,China PR,67.0,66.0,casa
Oman,Ecuador,67.0,74.0,fora
Oman,Iraq,67.0,55.0,casa
USA,Sweden,84.0,76.0,casa
Mexico,Sweden,82.0,76.0,casa
Brazil,Italy,87.0,90.0,fora
Slovakia,Ukraine,73.0,77.0,fora
Austria,Sweden,77.0,76.0,casa
Belgium,Slovenia,73.0,78.0,fora
Egypt,Ghana,68.0,66.0,casa
France,Argentina,87.0,82.0,casa
Germany,Norway,85.0,73.0,casa
Greece,Denmark,79.0,75.0,casa
Republic of Ireland,Georgia,83.0,55.0,casa
Israel,Hungary,73.0,72.0,casa
Latvia,Armenia,48.0,64.0,fora
Liechtenstein,Iceland,68.0,49.0,casa
North Macedonia,Moldova,75.0,54.0,casa
Malta,Albania,64.0,51.0,casa
Morocco,Czech Republic,71.0,88.0,fora
Nigeria,Jamaica,64.0,64.0,empate
Peru,Paraguay,62.0,74.0,fora
Portugal,Finland,80.0,80.0,empate
Romania,Croatia,82.0,77.0,casa
Serbia,Ukraine,78.0,77.0,casa
South Africa,Chile,73.0,70.0,casa
Spain,England,91.0,82.0,casa
Switzerland,Bulgaria,80.0,78.0,casa
Turkey,Côte d'Ivoire,81.0,68.0,casa
USA,Mexico,84.0,82.0,casa
Wales,Poland,77.0,80.0,fora
Iceland,Faroe Islands,49.0,53.0,fora
Albania,Hungary,51.0,72.0,fora
Argentina,Venezuela,82.0,65.0,casa
Armenia,Estonia,64.0,64.0,empate
Belgium,Bosnia and Herzegovina,73.0,72.0,casa
England,Slovakia,82.0,73.0,casa
Germany,Liechtenstein,85.0,68.0,casa
Republic of Ireland,Bulgaria,83.0,78.0,casa
Israel,Greece,73.0,79.0,fora
Korea Republic,Iraq,73.0,55.0,casa
Malta,Denmark,64.0,75.0,fora
Moldova,Switzerland,54.0,80.0,fora
Montenegro,Italy,50.0,90.0,fora
Netherlands,Scotland,85.0,81.0,casa
Northern Ireland,Poland,72.0,80.0,fora
Oman,Senegal,67.0,76.0,fora
Portugal,Sweden,80.0,76.0,casa
Romania,Serbia,82.0,78.0,casa
Slovenia,Czech Republic,78.0,88.0,fora
South Africa,Norway,73.0,73.0,empate
Spain,Turkey,91.0,81.0,casa
Togo,Cameroon,68.0,81.0,fora
Uruguay,Paraguay,75.0,74.0,casa
Wales,Finland,77.0,80.0,fora
Ecuador,Brazil,74.0,87.0,fora
Peru,Chile,62.0,70.0,fora
Portugal,South Africa,80.0,73.0,casa
Venezuela,Colombia,65.0,75.0,fora
Austria,Romania,77.0,82.0,fora
Bosnia and Herzegovina,Belgium,72.0,73.0,fora
Czech Republic,Slovakia,88.0,73.0,casa
Denmark,Albania,75.0,51.0,casa
England,Ukraine,82.0,77.0,casa
Estonia,Armenia,64.0,64.0,empate
Georgia,Montenegro,55.0,50.0,casa
Greece,Israel,79.0,73.0,casa
Hungary,Malta,72.0,64.0,casa
Italy,Republic of Ireland,90.0,83.0,casa
Liechtenstein,Russia,68.0,85.0,fora
Netherlands,North Macedonia,85.0,75.0,casa
Northern Ireland,Slovenia,72.0,78.0,fora
Norway,Finland,73.0,80.0,fora
Scotland,Iceland,81.0,49.0,casa
Serbia,Sweden,78.0,76.0,casa
Switzerland,Moldova,80.0,54.0,casa
Turkey,Spain,81.0,91.0,fora
USA,Trinidad and Tobago,84.0,63.0,casa
Wales,Germany,77.0,85.0,fora
Ecuador,Paraguay,74.0,74.0,empate
Chile,Uruguay,70.0,75.0,fora
Brazil,Peru,87.0,62.0,casa
Belgium,Chile,73.0,70.0,casa
China PR,Germany,66.0,85.0,fora
Republic of Ireland,Nigeria,83.0,64.0,casa
Wales,Estonia,77.0,64.0,casa
Oman,Egypt,67.0,68.0,fora
France,Nigeria,87.0,64.0,casa
Czech Republic,Malta,88.0,64.0,casa
France,Turkey,87.0,81.0,casa
Albania,Portugal,51.0,80.0,fora
Argentina,Colombia,82.0,75.0,casa
Bulgaria,Republic of Ireland,78.0,83.0,fora
Croatia,Ukraine,77.0,77.0,empate
Finland,Liechtenstein,80.0,68.0,casa
Georgia,Moldova,55.0,54.0,casa
Iceland,Netherlands,49.0,85.0,fora
Italy,Northern Ireland,90.0,72.0,casa
North Macedonia,Norway,75.0,73.0,casa
Paraguay,Chile,74.0,70.0,casa
Serbia,Austria,78.0,77.0,casa
South Africa,Poland,73.0,80.0,fora
Sweden,Denmark,76.0,75.0,casa
Uruguay,Brazil,75.0,87.0,fora
Peru,Ecuador,62.0,74.0,fora
Bosnia and Herzegovina,Oman,72.0,67.0,casa
Iraq,Poland,55.0,80.0,fora
Albania,Georgia,51.0,55.0,fora
Belarus,Moldova,67.0,54.0,casa
Brazil,Paraguay,87.0,74.0,casa
Colombia,Peru,75.0,62.0,casa
Ecuador,Argentina,74.0,82.0,fora
Estonia,Portugal,64.0,80.0,fora
Faroe Islands,Serbia,53.0,78.0,fora
Finland,Russia,80.0,85.0,fora
Italy,New Zealand,90.0,60.0,casa
North Macedonia,Iceland,75.0,49.0,casa
Mexico,Trinidad and Tobago,82.0,63.0,casa
Netherlands,Norway,85.0,73.0,casa
Sweden,Malta,76.0,64.0,casa
Venezuela,Uruguay,65.0,75.0,fora
Côte d'Ivoire,Cameroon,68.0,81.0,fora
New Zealand,Spain,60.0,91.0,fora
South Africa,Iraq,73.0,55.0,casa
Brazil,Egypt,87.0,68.0,casa
USA,Italy,84.0,90.0,fora
South Africa,New Zealand,73.0,60.0,casa
Spain,Iraq,91.0,55.0,casa
Egypt,Italy,68.0,90.0,fora
USA,Brazil,84.0,87.0,fora
Iraq,New Zealand,55.0,60.0,fora
Morocco,Togo,71.0,68.0,casa
South Africa,Spain,73.0,91.0,fora
Egypt,USA,68.0,84.0,fora
Italy,Brazil,90.0,87.0,casa
Mexico,Venezuela,82.0,65.0,casa
Spain,USA,91.0,84.0,casa
South Africa,Brazil,73.0,87.0,fora
South Africa,Spain,73.0,91.0,fora
USA,Brazil,84.0,87.0,fora
Canada,Jamaica,70.0,64.0,casa
USA,Mexico,84.0,82.0,casa
Armenia,Moldova,64.0,54.0,casa
Austria,Cameroon,77.0,81.0,fora
Belarus,Croatia,67.0,77.0,fora
Bulgaria,Latvia,78.0,48.0,casa
Colombia,Venezuela,75.0,65.0,casa
Congo DR,Senegal,63.0,76.0,fora
Czech Republic,Belgium,88.0,73.0,casa
Denmark,Chile,75.0,70.0,casa
Ecuador,Jamaica,74.0,64.0,casa
Estonia,Brazil,64.0,87.0,fora
Faroe Islands,France,53.0,87.0,fora
Hungary,Romania,72.0,82.0,fora
Iceland,Slovakia,49.0,73.0,fora
Republic of Ireland,Australia,83.0,77.0,casa
Korea Republic,Paraguay,73.0,74.0,fora
Liechtenstein,Portugal,68.0,80.0,fora
North Macedonia,Spain,75.0,91.0,fora
Malta,Georgia,64.0,55.0,casa
Mexico,USA,82.0,84.0,fora
Montenegro,Wales,50.0,77.0,fora
Netherlands,England,85.0,82.0,casa
Northern Ireland,Israel,72.0,73.0,fora
Norway,Scotland,73.0,81.0,fora
Poland,Greece,80.0,79.0,casa
Russia,Argentina,85.0,82.0,casa
South Africa,Serbia,73.0,78.0,fora
Sweden,Finland,76.0,80.0,fora
Switzerland,Italy,80.0,90.0,fora
Ukraine,Turkey,77.0,81.0,fora
Angola,Senegal,70.0,78.0,fora
Argentina,Brazil,78.0,89.0,fora
Armenia,Bosnia and Herzegovina,70.0,76.0,fora
Austria,Faroe Islands,77.0,62.0,casa
Chile,Venezuela,75.0,63.0,casa
Colombia,Ecuador,76.0,74.0,casa
Croatia,Belarus,80.0,76.0,casa
Denmark,Portugal,76.0,79.0,fora
England,Slovenia,81.0,78.0,casa
France,Romania,86.0,77.0,casa
Gabon,Cameroon,60.0,81.0,fora
Georgia,Italy,61.0,88.0,fora
Germany,South Africa,85.0,71.0,casa
Hungary,Sweden,75.0,77.0,fora
Iceland,Norway,71.0,72.0,fora
Israel,Latvia,78.0,67.0,casa
Korea Republic,Australia,73.0,79.0,fora
Peru,Uruguay,62.0,76.0,fora
Poland,Northern Ireland,80.0,73.0,casa
Scotland,North Macedonia,79.0,74.0,casa
Slovakia,Czech Republic,77.0,85.0,fora
Spain,Belgium,90.0,76.0,casa
Switzerland,Greece,80.0,79.0,casa
Turkey,Estonia,81.0,72.0,casa
Togo,Morocco,68.0,71.0,fora
Republic of Ireland,South Africa,84.0,71.0,casa
Albania,Denmark,65.0,76.0,fora
Angola,Cabo Verde,70.0,50.0,casa
Armenia,Belgium,70.0,76.0,fora
Belarus,Ukraine,76.0,78.0,fora
Bosnia and Herzegovina,Turkey,76.0,81.0,fora
Cameroon,Gabon,81.0,60.0,casa
England,Croatia,81.0,80.0,casa
Faroe Islands,Lithuania,62.0,67.0,fora
Hungary,Portugal,75.0,79.0,fora
Iceland,Georgia,71.0,61.0,casa
Italy,Bulgaria,88.0,77.0,casa
Latvia,Switzerland,67.0,80.0,fora
Moldova,Greece,65.0,79.0,fora
Northern Ireland,Slovakia,73.0,77.0,fora
Norway,North Macedonia,72.0,74.0,fora
Romania,Austria,77.0,77.0,empate
Scotland,Netherlands,79.0,83.0,fora
Serbia,France,75.0,86.0,fora
Slovenia,Poland,78.0,80.0,fora
Spain,Estonia,90.0,72.0,casa
Trinidad and Tobago,USA,63.0,82.0,fora
Wales,Russia,76.0,85.0,fora
Uruguay,Colombia,76.0,76.0,empate
Paraguay,Argentina,76.0,78.0,fora
Brazil,Chile,89.0,75.0,casa
Venezuela,Peru,63.0,62.0,casa
Argentina,Ghana,78.0,66.0,casa
Mexico,Colombia,79.0,76.0,casa
Argentina,Peru,78.0,62.0,casa
Armenia,Spain,70.0,90.0,fora
Australia,Netherlands,79.0,83.0,fora
Austria,Lithuania,77.0,67.0,casa
Belarus,Kazakhstan,76.0,65.0,casa
Belgium,Turkey,76.0,81.0,fora
Cameroon,Togo,81.0,68.0,casa
Colombia,Chile,76.0,75.0,casa
Czech Republic,Poland,85.0,80.0,casa
Denmark,Sweden,76.0,77.0,fora
Ecuador,Uruguay,74.0,76.0,fora
Estonia,Bosnia and Herzegovina,72.0,76.0,fora
Finland,Wales,80.0,76.0,casa
France,Faroe Islands,86.0,62.0,casa
Gabon,Morocco,60.0,71.0,fora
Greece,Latvia,79.0,67.0,casa
Republic of Ireland,Italy,84.0,88.0,fora
Israel,Moldova,78.0,65.0,casa
Norway,South Africa,72.0,71.0,casa
Portugal,Hungary,79.0,75.0,casa
Russia,Germany,85.0,85.0,empate
Serbia,Romania,75.0,77.0,fora
Slovakia,Slovenia,77.0,78.0,fora
Ukraine,England,78.0,81.0,fora
Venezuela,Paraguay,63.0,76.0,fora
Iceland,South Africa,71.0,71.0,empate
Angola,Cameroon,70.0,81.0,fora
Australia,Oman,79.0,73.0,casa
Bosnia and Herzegovina,Spain,76.0,90.0,fora
Brazil,Venezuela,89.0,63.0,casa
Bulgaria,Georgia,77.0,61.0,casa
Chile,Ecuador,75.0,74.0,casa
Czech Republic,Northern Ireland,85.0,73.0,casa
Denmark,Hungary,76.0,75.0,casa
England,Belarus,81.0,76.0,casa
Estonia,Belgium,72.0,76.0,fora
France,Austria,86.0,77.0,casa
Germany,Finland,85.0,80.0,casa
Kazakhstan,Croatia,65.0,80.0,fora
Korea Republic,Senegal,73.0,78.0,fora
Latvia,Moldova,67.0,65.0,casa
Lithuania,Serbia,67.0,75.0,fora
Paraguay,Colombia,76.0,76.0,empate
